"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
1102415,1287759,-1,"PVE7530",0.9708566665649414,"2025-08-11 05:53:57.553791-03"
1102416,1287759,-1,"PVE7530",0.9476732611656189,"2025-08-11 05:53:57.944177-03"
1102417,1287760,-1,"PVE7530",0.9456284046173096,"2025-08-11 05:53:58.14939-03"
1102418,1287760,-1,"PVE7530",0.962274968624115,"2025-08-11 05:53:58.348593-03"
1102419,1287761,-1,"PVE7530",0.9523666501045227,"2025-08-11 05:53:58.543984-03"
1102420,1287761,-1,"PVE7530",0.9484354853630066,"2025-08-11 05:53:58.709547-03"
1102421,1287762,-1,"PVE7530",0.9502507448196411,"2025-08-11 05:53:59.003564-03"
1102422,1287762,-1,"PVE7530",0.970250129699707,"2025-08-11 05:53:59.165387-03"
1102423,1287764,-1,"PYE7530",0.951087474822998,"2025-08-11 05:53:59.356471-03"
1102424,1287764,-1,"PVE7530",0.901969850063324,"2025-08-11 05:53:59.528326-03"
1102425,1287767,-1,"PYE7530",0.9500536918640137,"2025-08-11 05:53:59.717632-03"
1102426,1287767,-1,"PYE7530",0.9028860926628113,"2025-08-11 05:53:59.891258-03"
1102427,1289449,-1,"FOE0169",0.92130047082901,"2025-08-11 05:58:21.196074-03"
1102428,1289449,-1,"FOE0169",0.9030189514160156,"2025-08-11 05:58:21.377441-03"
1102429,1291881,-1,"RGD5806",0.9579575657844543,"2025-08-11 06:04:43.317614-03"
1102430,1291881,-1,"RGD5806",0.9534574151039124,"2025-08-11 06:04:43.491187-03"
1102431,1291882,-1,"RGD5806",0.9451313018798828,"2025-08-11 06:04:43.653042-03"
1102432,1291882,-1,"RGD5806",0.9225630164146423,"2025-08-11 06:04:43.812907-03"
1102433,1292712,-1,"GVC9622",0.6856063604354858,"2025-08-11 06:06:55.562484-03"
1102434,1292712,-1,"GVG9622",0.9014326333999634,"2025-08-11 06:06:55.738198-03"
1102435,1292713,-1,"GYG9622",0.7855794429779053,"2025-08-11 06:06:56.013935-03"
1102436,1292713,-1,"GVG9622",0.8142971396446228,"2025-08-11 06:06:56.217149-03"
1102437,1292714,-1,"GVC8622",0.845763087272644,"2025-08-11 06:06:56.398712-03"
1102438,1292714,-1,"GVG9622",0.9529515504837036,"2025-08-11 06:06:56.5683-03"
1102439,1292715,-1,"GVG9622",0.9053744077682495,"2025-08-11 06:06:56.732147-03"
1102440,1292715,-1,"GVG9622",0.9817907810211182,"2025-08-11 06:06:56.90386-03"
1102441,1292717,-1,"GVG9622",0.9554291367530823,"2025-08-11 06:06:57.07745-03"
1102442,1292717,-1,"GVG9622",0.9777442216873169,"2025-08-11 06:06:57.253164-03"
1102443,1292718,-1,"GVG9622",0.9411446452140808,"2025-08-11 06:06:57.422715-03"
1102444,1292718,-1,"GVG9622",0.9555493593215942,"2025-08-11 06:06:57.610056-03"
1102445,1292719,-1,"GVG9622",0.9594119191169739,"2025-08-11 06:06:57.789731-03"
1102446,1292719,-1,"GVG9622",0.977866530418396,"2025-08-11 06:06:57.986825-03"
1102447,1292721,-1,"GVG9622",0.9397068619728088,"2025-08-11 06:06:58.168395-03"
1102448,1292721,-1,"GVG9622",0.9722710847854614,"2025-08-11 06:06:58.355796-03"
