"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
1113006,3868,-1,"OOA1166",0.6255810856819153,"2025-08-12 10:01:04.034837-03"
1113007,3869,-1,"OOO1166",0.7386552691459656,"2025-08-12 10:01:04.593356-03"
1113008,3870,-1,"OOH1166",0.7359851598739624,"2025-08-12 10:01:04.794565-03"
1113009,3870,-1,"OOH1166",0.761846661567688,"2025-08-12 10:01:04.975953-03"
1113010,3871,-1,"OOH1166",0.6997235417366028,"2025-08-12 10:01:05.155632-03"
1113011,3871,-1,"QOM1166",0.7943243384361267,"2025-08-12 10:01:05.345076-03"
1113012,3872,-1,"COM1166",0.8232162594795227,"2025-08-12 10:01:05.530513-03"
1113013,3872,-1,"QOM1166",0.8455184698104858,"2025-08-12 10:01:05.712144-03"
1113014,3873,-1,"OOM1166",0.8123248219490051,"2025-08-12 10:01:06.003987-03"
1113015,3873,-1,"QOM1166",0.8535385727882385,"2025-08-12 10:01:06.29177-03"
1113016,3874,-1,"QOM1166",0.8364801406860352,"2025-08-12 10:01:06.477126-03"
1113017,3874,-1,"QOM1166",0.9630443453788757,"2025-08-12 10:01:06.683995-03"
1113018,3875,-1,"QOM1166",0.944987952709198,"2025-08-12 10:01:06.861644-03"
1113019,3875,-1,"QOM1166",0.9673623442649841,"2025-08-12 10:01:07.074632-03"
1113020,3876,-1,"QOM1166",0.9778439402580261,"2025-08-12 10:01:07.323321-03"
1113021,3876,-1,"QOM1166",0.9637889862060547,"2025-08-12 10:01:07.544268-03"
1113022,3877,-1,"QOM1166",0.9823416471481323,"2025-08-12 10:01:08.731786-03"
1113023,3877,-1,"QOM1166",0.9838396906852722,"2025-08-12 10:01:08.919251-03"
1113024,3878,-1,"QOM1166",0.9772847294807434,"2025-08-12 10:01:09.124449-03"
1113025,3878,-1,"QOM1166",0.971336305141449,"2025-08-12 10:01:09.313596-03"
1113026,3879,-1,"QOM1166",0.9852089285850525,"2025-08-12 10:01:09.489228-03"
1113027,3879,-1,"QOM1166",0.9887886643409729,"2025-08-12 10:01:09.688697-03"
1113028,3880,-1,"QOM1166",0.9664268493652344,"2025-08-12 10:01:09.878146-03"
1113029,3880,-1,"QOM1166",0.9725943803787231,"2025-08-12 10:01:10.079318-03"
1113030,3881,-1,"QOM1166",0.978044867515564,"2025-08-12 10:01:10.359389-03"
1113031,3881,-1,"QOM1166",0.9732481837272644,"2025-08-12 10:01:10.566523-03"
1113032,3882,-1,"QOM1166",0.9796667098999023,"2025-08-12 10:01:10.77347-03"
1113033,3882,-1,"QOM1166",0.9773449301719666,"2025-08-12 10:01:11.06729-03"
1113034,3883,-1,"QOM1166",0.9755967259407043,"2025-08-12 10:01:11.351357-03"
1113035,3883,-1,"QOM1166",0.9705547094345093,"2025-08-12 10:01:11.58809-03"
1113036,3884,-1,"QOM1166",0.9866402745246887,"2025-08-12 10:01:11.781475-03"
1113037,3884,-1,"QOM1166",0.985352098941803,"2025-08-12 10:01:11.990708-03"
1113038,3885,-1,"QOM1166",0.9877480268478394,"2025-08-12 10:01:12.195933-03"
1113039,3885,-1,"QOM1166",0.9238743185997009,"2025-08-12 10:01:12.385356-03"
1113040,3886,-1,"QOM1166",0.9849459528923035,"2025-08-12 10:01:12.588227-03"
1113041,3886,-1,"QOM1166",0.974521279335022,"2025-08-12 10:01:12.779566-03"
1113042,3887,-1,"QOM1166",0.9866247773170471,"2025-08-12 10:01:13.018329-03"
1113043,3887,-1,"QOM1166",0.9912153482437134,"2025-08-12 10:01:13.22926-03"
1113044,3888,-1,"QOM1166",0.9864738583564758,"2025-08-12 10:01:13.43854-03"
1113045,3888,-1,"QOM1166",0.9500474333763123,"2025-08-12 10:01:13.618235-03"
1113046,3889,-1,"QOM1166",0.965542197227478,"2025-08-12 10:01:13.805362-03"
1113047,3889,-1,"QOM1166",0.9649890065193176,"2025-08-12 10:01:14.00448-03"
1113048,3890,-1,"QOM1166",0.9603577852249146,"2025-08-12 10:01:14.197836-03"
1113049,3890,-1,"QOM1166",0.9633417129516602,"2025-08-12 10:01:14.396764-03"
1113050,3891,-1,"QOM1166",0.9788009524345398,"2025-08-12 10:01:14.665004-03"
1113051,3891,-1,"QOM1166",0.9559813737869263,"2025-08-12 10:01:14.903839-03"
1113052,3892,-1,"QOM1166",0.9375727772712708,"2025-08-12 10:01:15.120225-03"
1113053,3892,-1,"QOM1166",0.9666160941123962,"2025-08-12 10:01:15.290073-03"
1113054,3893,-1,"QOM1166",0.9475002288818359,"2025-08-12 10:01:15.524775-03"
1113055,3893,-1,"QOM1166",0.9492659568786621,"2025-08-12 10:01:15.698426-03"
1113056,3894,-1,"OOM1166",0.8905066847801208,"2025-08-12 10:01:15.921291-03"
1113057,5455,-1,"HKP4714",0.9468385577201843,"2025-08-12 10:06:17.335314-03"
1113058,5455,-1,"HKP4714",0.9544731974601746,"2025-08-12 10:06:17.502858-03"
1113059,5456,-1,"HKP4714",0.938482403755188,"2025-08-12 10:06:17.856057-03"
1113060,5456,-1,"HKP4Z14",0.8087749481201172,"2025-08-12 10:06:18.076985-03"
1113061,5468,-1,"HKP4714",0.7328482866287231,"2025-08-12 10:06:19.102855-03"
1113062,8530,-1,"HJS1F87",0.9618131518363953,"2025-08-12 10:15:21.959935-03"
1113063,8530,-1,"HJS1F87",0.9665974378585815,"2025-08-12 10:15:22.210171-03"
1113064,8531,-1,"HJS1F87",0.9221047759056091,"2025-08-12 10:15:22.454842-03"
1113065,8531,-1,"HJS1F87",0.9610441327095032,"2025-08-12 10:15:22.738602-03"
1113066,8532,-1,"HJS1F87",0.9920080900192261,"2025-08-12 10:15:23.000843-03"
1113067,8532,-1,"HJS1F87",0.996317982673645,"2025-08-12 10:15:23.210111-03"
1113068,8533,-1,"HJS1F87",0.9901832342147827,"2025-08-12 10:15:23.47245-03"
1113069,8533,-1,"HJS1F87",0.9904453158378601,"2025-08-12 10:15:23.720956-03"
1113070,8534,-1,"HJS1F87",0.9953252673149109,"2025-08-12 10:15:23.991232-03"
1113071,8534,-1,"HJS1F87",0.9787914156913757,"2025-08-12 10:15:24.164865-03"
1113072,8535,-1,"HJS1F87",0.9820512533187866,"2025-08-12 10:15:24.381836-03"
1113073,8535,-1,"HJS1F87",0.9827937483787537,"2025-08-12 10:15:24.583261-03"
1113074,8536,-1,"HJS1F87",0.993355929851532,"2025-08-12 10:15:24.764705-03"
1113075,8536,-1,"HJS1F87",0.9686627984046936,"2025-08-12 10:15:24.940278-03"
1113076,8537,-1,"HJS1F87",0.9965046048164368,"2025-08-12 10:15:25.133665-03"
1113077,8537,-1,"HJS1F87",0.9717917442321777,"2025-08-12 10:15:25.340586-03"
1113078,8538,-1,"HJS1F87",0.9940201044082642,"2025-08-12 10:15:25.51019-03"
1113079,8538,-1,"HJS1F87",0.9891415238380432,"2025-08-12 10:15:25.721447-03"
1113080,8539,-1,"HJS1F87",0.9898926019668579,"2025-08-12 10:15:25.895029-03"
1113081,8539,-1,"HJS1F87",0.9921053051948547,"2025-08-12 10:15:26.062578-03"
1113082,8540,-1,"HJS1F87",0.9926981329917908,"2025-08-12 10:15:26.233907-03"
1113083,8540,-1,"HJS1F87",0.9888828992843628,"2025-08-12 10:15:26.443224-03"
1113084,8541,-1,"HJS1F87",0.9945464730262756,"2025-08-12 10:15:26.618804-03"
1113085,8541,-1,"HJS1F87",0.9707662463188171,"2025-08-12 10:15:26.78209-03"
1113086,8542,-1,"HJS1F87",0.9942471385002136,"2025-08-12 10:15:26.955722-03"
1113087,8542,-1,"HJS1F87",0.9894301295280457,"2025-08-12 10:15:27.133405-03"
1113088,8543,-1,"HJS1F87",0.9500603675842285,"2025-08-12 10:15:27.3386-03"
1113089,8543,-1,"HJS1F87",0.9367186427116394,"2025-08-12 10:15:27.513944-03"
1113090,8544,-1,"HJS1F87",0.935717761516571,"2025-08-12 10:15:27.709304-03"
1113091,8544,-1,"HJS1F87",0.9123052358627319,"2025-08-12 10:15:27.904393-03"
1113092,8545,-1,"HJS1F87",0.964455246925354,"2025-08-12 10:15:28.076019-03"
1113093,8545,-1,"HJS1E87",0.9290217161178589,"2025-08-12 10:15:28.25368-03"
1113094,8546,-1,"HJS1F87",0.9923039078712463,"2025-08-12 10:15:28.429237-03"
1113095,8546,-1,"HJS1F87",0.9419006705284119,"2025-08-12 10:15:28.594842-03"
1113096,8547,-1,"HJS1F87",0.9795939326286316,"2025-08-12 10:15:29.786254-03"
1113097,8547,-1,"HJS1F87",0.9492902159690857,"2025-08-12 10:15:29.957894-03"
1113098,8548,-1,"HJS1F87",0.9468711018562317,"2025-08-12 10:15:30.133507-03"
1113099,8548,-1,"HJS1F87",0.9374375343322754,"2025-08-12 10:15:30.311147-03"
1113100,8549,-1,"HJS1F87",0.9931455850601196,"2025-08-12 10:15:30.466959-03"
1113101,8549,-1,"HJS1F87",0.9411378502845764,"2025-08-12 10:15:30.634575-03"
1113102,8550,-1,"HJS1F87",0.9899775385856628,"2025-08-12 10:15:30.812136-03"
1113103,8550,-1,"HJS1F87",0.9696057438850403,"2025-08-12 10:15:30.985721-03"
1113104,8551,-1,"HJS1F87",0.9942429661750793,"2025-08-12 10:15:31.149558-03"
1113105,8551,-1,"HJS1F87",0.9368008375167847,"2025-08-12 10:15:31.33692-03"
1113106,8552,-1,"HJS1F87",0.9866986870765686,"2025-08-12 10:15:31.510518-03"
1113107,8552,-1,"HJS1F87",0.9766001105308533,"2025-08-12 10:15:31.686097-03"
1113108,8553,-1,"HJS1F87",0.9844271540641785,"2025-08-12 10:15:31.867502-03"
1113109,8553,-1,"HJS1F87",0.9297534823417664,"2025-08-12 10:15:32.048937-03"
1113110,8554,-1,"HJS1F87",0.9748239517211914,"2025-08-12 10:15:32.208438-03"
1113111,8554,-1,"HJS1F87",0.9457841515541077,"2025-08-12 10:15:32.388095-03"
1113112,8555,-1,"HJS1F87",0.9835032820701599,"2025-08-12 10:15:32.565665-03"
1113113,8555,-1,"HJS1F87",0.940505862236023,"2025-08-12 10:15:32.741323-03"
1113114,8556,-1,"HJS1F87",0.9858561754226685,"2025-08-12 10:15:32.908914-03"
1113115,8556,-1,"HJS1F87",0.9571084380149841,"2025-08-12 10:15:33.066772-03"
1113116,8557,-1,"HJS1F87",0.9777842164039612,"2025-08-12 10:15:33.240413-03"
1113117,8557,-1,"HJS1F87",0.9593029022216797,"2025-08-12 10:15:33.431745-03"
1113118,8558,-1,"HJS1F87",0.9914790987968445,"2025-08-12 10:15:33.577686-03"
1113119,8558,-1,"HJS1F87",0.9514684081077576,"2025-08-12 10:15:33.757047-03"
1113120,8559,-1,"HJS1F87",0.988301157951355,"2025-08-12 10:15:33.926869-03"
1113121,8559,-1,"HJS1F87",0.9880167841911316,"2025-08-12 10:15:34.094421-03"
1113122,8560,-1,"HJS1F87",0.9889355301856995,"2025-08-12 10:15:34.254243-03"
1113123,8560,-1,"HJS1F87",0.9728196859359741,"2025-08-12 10:15:34.451356-03"
1113124,8561,-1,"HJS1F87",0.9918217658996582,"2025-08-12 10:15:34.678276-03"
1113125,8561,-1,"HJS1F87",0.9434691071510315,"2025-08-12 10:15:34.843839-03"
1113126,8562,-1,"HJS1F87",0.9877840876579285,"2025-08-12 10:15:35.005657-03"
1113127,8562,-1,"HJS1F87",0.9853273630142212,"2025-08-12 10:15:35.183315-03"
1113128,8563,-1,"HJS1F87",0.9934507012367249,"2025-08-12 10:15:35.360905-03"
1113129,8563,-1,"HJS1F87",0.9689859747886658,"2025-08-12 10:15:35.534465-03"
1113130,8564,-1,"HJS1F87",0.991613507270813,"2025-08-12 10:15:35.727348-03"
1113131,8564,-1,"HJS1F87",0.9836662411689758,"2025-08-12 10:15:35.891195-03"
1113132,8565,-1,"HJS1F87",0.9912775754928589,"2025-08-12 10:15:36.068806-03"
1113133,8565,-1,"HJS1F87",0.9849648475646973,"2025-08-12 10:15:36.242453-03"
1113134,8566,-1,"HJS1F87",0.9870244264602661,"2025-08-12 10:15:36.465077-03"
1113135,8566,-1,"HJS1F87",0.9516053795814514,"2025-08-12 10:15:36.652454-03"
1113136,8567,-1,"HJS1F87",0.9939993619918823,"2025-08-12 10:15:36.877349-03"
1113137,8567,-1,"HJS1F87",0.97222501039505,"2025-08-12 10:15:37.035115-03"
1113138,8568,-1,"HJS1F87",0.9227352738380432,"2025-08-12 10:15:37.273283-03"
1113139,8568,-1,"HJS1F87",0.8653198480606079,"2025-08-12 10:15:37.427317-03"
1113140,8569,-1,"HOS1F87",0.8194397687911987,"2025-08-12 10:15:37.65801-03"
1113141,8569,-1,"HOS1F87",0.8788734674453735,"2025-08-12 10:15:37.825631-03"
1113142,8570,-1,"HAS5F07",0.5059166550636292,"2025-08-12 10:15:38.044752-03"
1113143,9278,-1,"FGV2380",0.938957154750824,"2025-08-12 10:17:30.021489-03"
1113144,9278,-1,"FGV2380",0.9390425086021423,"2025-08-12 10:17:30.265935-03"
1113145,9280,-1,"FGV2380",0.87220698595047,"2025-08-12 10:17:30.893172-03"
1113146,9282,-1,"FGV2380",0.8239511251449585,"2025-08-12 10:17:31.648236-03"
1113147,9286,-1,"FGV2380",0.8527578711509705,"2025-08-12 10:17:32.044769-03"
1113148,9287,-1,"FGV2380",0.9161517918109894,"2025-08-12 10:17:32.42895-03"
1113149,9288,-1,"FGV2380",0.9078464210033417,"2025-08-12 10:17:32.791978-03"
1113150,9289,-1,"FGV2380",0.9008090496063232,"2025-08-12 10:17:33.192557-03"
1113151,9291,-1,"FGV2380",0.8588386476039886,"2025-08-12 10:17:34.049844-03"
1113152,9292,-1,"FGV2380",0.8666950166225433,"2025-08-12 10:17:34.443835-03"
1113153,9294,-1,"FGV2380",0.8723512887954712,"2025-08-12 10:17:35.236865-03"
1113154,9296,-1,"FGV2380",0.8588301837444305,"2025-08-12 10:17:36.009538-03"
1113155,9315,-1,"FGU2380",0.7906973361968994,"2025-08-12 10:17:38.229977-03"
1113156,9315,-1,"FGU2380",0.8563955128192902,"2025-08-12 10:17:38.411287-03"
1113157,9751,-1,"ETL7860",0.9014467000961304,"2025-08-12 10:18:49.734304-03"
1113158,9751,-1,"ETL7860",0.882199764251709,"2025-08-12 10:18:49.94117-03"
1113159,9752,-1,"ETL7860",0.9940575361251831,"2025-08-12 10:18:50.203638-03"
1113160,9752,-1,"ETL7860",0.9909180998802185,"2025-08-12 10:18:50.381303-03"
1113161,9753,-1,"ETL7860",0.9918790459632874,"2025-08-12 10:18:50.568374-03"
1113162,9753,-1,"ETL7860",0.9864674210548401,"2025-08-12 10:18:50.731635-03"
1113163,9754,-1,"ETL7860",0.9119141101837158,"2025-08-12 10:18:51.00401-03"
